iso3,country_name,score_balanced,rank_balanced,score_clerical_heavy,rank_clerical_heavy,score_cognitive_uniform,rank_cognitive_uniform,max_rank_movement
MAC,"Macao SAR, China",0.4741,22,0.4428,4,0.4364,47,43
JPN,Japan,0.4624,29,0.4106,14,0.422,55,41
CMR,Cameroon,0.2789,120,0.2106,126,0.3097,103,23
ISL,Iceland,0.4733,23,0.3694,38,0.4891,18,20
LTU,Lithuania,0.4587,36,0.3624,45,0.4696,25,20
SOM,"Somalia, Fed. Rep.",0.3324,92,0.2523,97,0.3579,79,18
COM,Comoros,0.2651,133,0.217,119,0.2612,135,16
MWI,Malawi,0.2565,135,0.1863,139,0.2787,123,16
LVA,Latvia,0.438,50,0.348,52,0.4507,38,14
PHL,Philippines,0.3036,108,0.2445,101,0.2981,115,14
PRI,Puerto Rico (US),0.493,15,0.4241,9,0.4752,23,14
RUS,Russian Federation,0.4501,41,0.3543,50,0.4547,36,14
SLV,El Salvador,0.3058,104,0.241,105,0.2959,118,14
UKR,Ukraine,0.3886,64,0.3017,74,0.3995,60,14
DJI,Djibouti,0.4654,27,0.3957,24,0.4522,37,13
GRC,Greece,0.4423,45,0.3689,39,0.4253,52,13
TUV,Tuvalu,0.4588,35,0.3767,35,0.4764,22,13
FIN,Finland,0.4696,24,0.3746,36,0.4735,24,12
KAZ,Kazakhstan,0.3575,82,0.2802,83,0.3677,71,12
VEN,"Venezuela, RB",0.371,73,0.2941,76,0.347,84,11
YEM,"Yemen, Rep.",0.2865,118,0.2292,113,0.2755,124,11
TWN,"Taiwan, China",0.4423,46,0.3687,40,0.4262,51,11
BLZ,Belize,0.3209,99,0.258,91,0.31,101,10
EST,Estonia,0.452,40,0.364,43,0.4573,33,10
ITA,Italy,0.4538,39,0.3813,31,0.4488,41,10
MNG,Mongolia,0.3278,94,0.251,99,0.3353,89,10
ALB,Albania,0.2736,127,0.2057,130,0.279,121,9
BTN,Bhutan,0.2779,121,0.2116,123,0.2993,114,9
KEN,Kenya,0.2218,150,0.1623,150,0.2481,141,9
KWT,Kuwait,0.302,109,0.2358,111,0.3099,102,9
PER,Peru,0.2962,114,0.2359,110,0.2945,119,9
URY,Uruguay,0.3899,63,0.3225,59,0.3789,68,9
USA,United States,0.4925,16,0.4009,19,0.506,10,9
ARM,Armenia,0.3261,95,0.2535,95,0.3367,87,8
DOM,Dominican Republic,0.3495,83,0.2849,80,0.3365,88,8
GAB,Gabon,0.3288,93,0.2617,90,0.3177,98,8
JOR,Jordan,0.3678,75,0.284,82,0.3499,83,8
MHL,Marshall Islands,0.3802,69,0.3031,72,0.3876,64,8
TJK,Tajikistan,0.2936,115,0.2203,118,0.3037,110,8
ARE,United Arab Emirates,0.382,67,0.3046,70,0.3896,63,7
BLR,Belarus,0.4148,56,0.3219,61,0.4239,54,7
DZA,Algeria,0.3374,88,0.2705,88,0.3233,95,7
HKG,"Hong Kong SAR, China",0.4598,34,0.3839,27,0.4677,27,7
KOR,"Korea, Rep.",0.4679,26,0.3965,22,0.4633,29,7
MNE,Montenegro,0.4586,37,0.3791,33,0.4497,40,7
MYS,Malaysia,0.3731,72,0.305,67,0.3652,74,7
NOR,Norway,0.5007,11,0.4012,18,0.5049,12,7
BGR,Bulgaria,0.4342,52,0.3468,54,0.4354,48,6
BMU,Bermuda,0.5228,5,0.4483,2,0.518,8,6
CHL,Chile,0.3994,59,0.3165,63,0.4017,57,6
CYM,Cayman Islands,0.4414,47,0.3577,48,0.4476,42,6
GBR,United Kingdom,0.5097,9,0.4149,11,0.5263,5,6
IMN,Isle of Man,0.4982,12,0.4244,8,0.4971,14,6
ISR,Israel,0.5149,7,0.4143,13,0.5183,7,6
JAM,Jamaica,0.3597,80,0.2958,75,0.3555,81,6
LBR,Liberia,0.2835,119,0.2106,125,0.2889,120,6
MLT,Malta,0.4799,20,0.3925,25,0.4855,19,6
POL,Poland,0.4558,38,0.3709,37,0.4598,32,6
PSE,West Bank and Gaza,0.3341,91,0.2532,96,0.334,90,6
QAT,Qatar,0.371,74,0.3046,69,0.365,75,6
SEN,Senegal,0.2748,123,0.2164,120,0.2711,126,6
SWE,Sweden,0.5167,6,0.4144,12,0.5242,6,6
TGO,Togo,0.2271,147,0.1654,147,0.2206,153,6
THA,Thailand,0.2746,124,0.2138,121,0.271,127,6
ZAF,South Africa,0.3636,79,0.3026,73,0.3665,73,6
ARG,Argentina,0.4163,55,0.3468,53,0.4014,58,5
AUS,Australia,0.4896,17,0.3982,20,0.4971,15,5
BHS,"Bahamas, The",0.3937,61,0.3208,62,0.385,66,5
BWA,Botswana,0.2973,113,0.23,112,0.3057,108,5
CZE,Czechia,0.4488,42,0.363,44,0.4499,39,5
ESP,Spain,0.4447,44,0.3667,41,0.4377,46,5
FRA,France,0.4885,18,0.3979,21,0.4963,16,5
GEO,Georgia,0.314,101,0.245,100,0.3224,96,5
IND,India,0.2201,151,0.1648,149,0.2278,146,5
LBN,Lebanon,0.3649,78,0.2848,81,0.3649,76,5
MLI,Mali,0.2013,159,0.1507,157,0.1994,162,5
MUS,Mauritius,0.4019,57,0.3302,56,0.3973,61,5
NRU,Naoero,0.4358,51,0.3618,46,0.4317,49,5
PLW,Palau,0.4402,48,0.3582,47,0.4475,43,5
STP,Sao Tome and Principe,0.2717,128,0.2039,133,0.2667,130,5
SYC,Seychelles,0.4192,54,0.3334,55,0.4279,50,5
TTO,Trinidad and Tobago,0.3911,62,0.3238,57,0.4008,59,5
VNM,Viet Nam,0.2491,139,0.1869,138,0.2455,143,5
AUT,Austria,0.4811,19,0.3963,23,0.4827,20,4
BOL,Bolivia,0.2744,125,0.2086,127,0.2683,129,4
BRA,Brazil,0.3806,68,0.3102,66,0.3721,70,4
CAN,Canada,0.4795,21,0.4018,17,0.4795,21,4
CIV,Cote d'Ivoire,0.217,153,0.1616,151,0.2112,155,4
CPV,Cabo Verde,0.3097,103,0.2438,103,0.306,107,4
CRI,Costa Rica,0.3741,71,0.3049,68,0.3675,72,4
DEU,Germany,0.5072,10,0.4269,7,0.505,11,4
DNK,Denmark,0.4969,13,0.4045,15,0.496,17,4
FJI,Fiji,0.3227,96,0.2579,92,0.3245,94,4
GRD,Grenada,0.2736,126,0.2135,122,0.279,122,4
GUY,Guyana,0.3398,87,0.2715,87,0.3326,91,4
HUN,Hungary,0.4398,49,0.3561,49,0.4418,45,4
IRN,"Iran, Islamic Rep.",0.3103,102,0.2394,106,0.3083,105,4
KGZ,Kyrgyz Republic,0.3016,110,0.2287,114,0.3006,112,4
MDA,Moldova,0.2339,144,0.1748,144,0.249,140,4
MDV,Maldives,0.3945,60,0.322,60,0.4073,56,4
MKD,North Macedonia,0.4018,58,0.3226,58,0.3968,62,4
NAM,Namibia,0.2977,111,0.2374,107,0.3034,111,4
NGA,Nigeria,0.2275,146,0.1649,148,0.2221,150,4
SDN,Sudan,0.2188,152,0.1583,153,0.2223,149,4
AGO,Angola,0.2224,149,0.1616,152,0.2213,151,3
BRN,Brunei Darussalam,0.4619,30,0.3831,28,0.4613,31,3
ECU,Ecuador,0.2541,138,0.1935,135,0.2555,138,3
GHA,Ghana,0.2394,142,0.1759,142,0.2343,145,3
GTM,Guatemala,0.2686,130,0.2068,129,0.2635,132,3
HND,Honduras,0.277,122,0.2114,124,0.2752,125,3
IDN,Indonesia,0.2663,132,0.2053,131,0.2612,134,3
IRL,Ireland,0.4943,14,0.4019,16,0.4989,13,3
IRQ,Iraq,0.3361,90,0.2555,93,0.3269,93,3
KIR,Kiribati,0.2977,112,0.2283,115,0.3005,113,3
LSO,Lesotho,0.1914,162,0.1385,162,0.2029,159,3
MEX,Mexico,0.3361,89,0.2684,89,0.3311,92,3
NIC,Nicaragua,0.256,136,0.1949,134,0.2628,133,3
NLD,Netherlands,0.5266,3,0.43,6,0.5303,4,3
PRY,Paraguay,0.3217,97,0.2536,94,0.322,97,3
TUN,Tunisia,0.3043,106,0.2364,109,0.3038,109,3
VUT,Vanuatu,0.2121,154,0.1556,155,0.221,152,3
BEL,Belgium,0.5125,8,0.424,10,0.5157,9,2
BFA,Burkina Faso,0.2036,158,0.1468,159,0.2065,157,2
BRB,Barbados,0.4241,53,0.3527,51,0.4244,53,2
CHE,Switzerland,0.5265,4,0.4395,5,0.5308,3,2
CUW,Curacao,0.461,31,0.3823,29,0.463,30,2
GIN,Guinea,0.2328,145,0.1696,145,0.2258,147,2
GMB,"Gambia, The",0.2638,134,0.193,136,0.2585,136,2
HRV,Croatia,0.4648,28,0.3817,30,0.4644,28,2
KHM,Cambodia,0.2259,148,0.1688,146,0.2237,148,2
LCA,St. Lucia,0.3781,70,0.3036,71,0.3741,69,2
MAR,Morocco,0.2443,141,0.1839,140,0.246,142,2
MMR,Myanmar,0.2087,156,0.1569,154,0.2068,156,2
PRT,Portugal,0.46,33,0.3771,34,0.456,35,2
RWA,Rwanda,0.1866,164,0.1337,165,0.197,163,2
SLB,Solomon Islands,0.2473,140,0.1834,141,0.2512,139,2
SUR,Suriname,0.3843,66,0.3112,65,0.3844,67,2
SVK,Slovak Republic,0.4603,32,0.3798,32,0.4569,34,2
SVN,Slovenia,0.4475,43,0.3658,42,0.4472,44,2
SWZ,Eswatini,0.3183,100,0.2444,102,0.3155,100,2
TON,Tonga,0.3481,84,0.2768,84,0.3542,82,2
TUR,Turkiye,0.3585,81,0.2885,79,0.3559,80,2
TZA,Tanzania,0.1402,176,0.0975,176,0.1567,174,2
WSM,Samoa,0.304,107,0.2364,108,0.308,106,2
ZWE,Zimbabwe,0.2088,155,0.152,156,0.2166,154,2
AFG,Afghanistan,0.1793,167,0.1266,167,0.1898,166,1
AZE,Azerbaijan,0.3051,105,0.2425,104,0.3096,104,1
BEN,Benin,0.2086,157,0.1499,158,0.2033,158,1
BIH,Bosnia and Herzegovina,0.3666,76,0.2934,77,0.36,77,1
COD,"Congo, Dem. Rep.",0.1704,169,0.122,168,0.1861,169,1
CYP,Cyprus,0.469,25,0.3869,26,0.4679,26,1
EGY,"Egypt, Arab Rep.",0.3214,98,0.2517,98,0.3174,99,1
ETH,Ethiopia,0.157,171,0.1106,172,0.1699,171,1
GNB,Guinea-Bissau,0.1849,165,0.1343,164,0.1915,165,1
GNQ,Equatorial Guinea,0.2708,129,0.2078,128,0.2701,128,1
LAO,Lao PDR,0.171,168,0.1219,169,0.1862,168,1
MOZ,Mozambique,0.1456,174,0.1018,174,0.1564,175,1
NER,Niger,0.1454,175,0.1011,175,0.1525,176,1
NPL,Nepal,0.268,131,0.204,132,0.265,131,1
PAK,Pakistan,0.2353,143,0.175,143,0.24,144,1
ROU,Romania,0.3662,77,0.2892,78,0.3595,78,1
SGP,Singapore,0.547,2,0.4457,3,0.5715,2,1
SLE,Sierra Leone,0.1849,166,0.1311,166,0.1881,167,1
SRB,Serbia,0.3875,65,0.315,64,0.3859,65,1
TCD,Chad,0.1565,172,0.1108,171,0.1624,172,1
ZMB,Zambia,0.1873,163,0.1359,163,0.1928,164,1
BDI,Burundi,0.1162,177,0.0789,177,0.1325,177,0
BGD,Bangladesh,0.1985,160,0.1436,160,0.2026,160,0
COL,Colombia,0.3437,85,0.2727,85,0.3437,85,0
