group,n,mean_signed_error_pp,mae_pp,rmse_pp,median_abs_error_pp,p90_abs_error_pp,max_abs_error_pp,max_abs_error_iso3,persistence_mae_pp,persistence_rmse_pp,trend_beats_persistence_n,direction_wrong_n
isco1_managers_pct,64,-0.465033,1.553211,2.504121,1.040321,2.792432,12.479325,HND,1.00165,1.677614,23,33
isco2_professionals_pct,64,-1.211428,2.296978,3.015657,1.762632,4.8305,9.11675,LUX,2.641681,3.376799,40,14
isco3_technicians_pct,64,-0.206009,1.508175,2.032973,1.285589,2.849068,8.372543,COL,1.078584,1.55913,20,30
isco4_clerical_pct,64,-0.054759,0.94016,1.295288,0.656275,1.795125,5.056471,GEO,0.645444,0.843272,19,31
isco5_service_sales_pct,64,1.237773,2.048664,3.125939,1.185586,5.449804,12.472807,HND,1.2606,1.640506,27,33
isco6_agricultural_pct,62,-0.576349,2.424704,7.954835,0.406054,4.198843,58.391575,RWA,1.649177,2.944318,37,10
isco7_craft_pct,64,0.538098,1.476831,1.995532,1.051139,3.012579,7.0238,CRI,0.947416,1.146423,26,26
isco8_operators_pct,64,0.695308,1.231504,1.567615,0.981746,2.410343,4.762654,HUN,0.897678,1.221246,21,35
isco9_elementary_pct,64,0.018581,2.797038,5.950138,1.19755,5.275086,36.613475,RWA,1.515645,2.505423,21,29
POOLED,574,-0.000648,1.806438,3.866665,1.042111,3.634142,58.391575,RWA,1.291857,2.04565,234,241
