iso3,country_name,ilo_white_collar_pct,ilo_year,eurostat_white_collar_pct,eurostat_year,delta_pp,within_tolerance
AUT,Austria,56.09,2025,55.64,2024,0.44,True
BEL,Belgium,62.93,2025,61.84,2024,1.09,True
BGR,Bulgaria,46.87,2025,44.25,2024,2.62,True
HRV,Croatia,52.64,2025,51.73,2024,0.91,True
CYP,Cyprus,53.37,2025,53.32,2024,0.06,True
CZE,Czechia,50.48,2025,49.06,2024,1.41,True
DNK,Denmark,57.74,2025,57.52,2024,0.23,True
EST,Estonia,52.28,2025,53.87,2024,-1.58,True
FIN,Finland,53.95,2025,53.97,2024,-0.02,True
FRA,France,59.3,2025,58.66,2024,0.64,True
DEU,Germany,60.81,2025,60.91,2024,-0.09,True
GRC,Greece,44.5,2025,43.48,2024,1.02,True
HUN,Hungary,49.41,2025,49.1,2024,0.32,True
IRL,Ireland,59.11,2025,58.91,2024,0.2,True
ITA,Italy,49.68,2025,49.99,2024,-0.31,True
LVA,Latvia,50.74,2025,50.91,2024,-0.17,True
LTU,Lithuania,54.96,2025,52.91,2024,2.05,True
LUX,Luxembourg,77.16,2025,75.81,2024,1.35,True
MLT,Malta,56.04,2025,55.73,2024,0.31,True
NLD,Netherlands,64.82,2025,64.16,2024,0.66,True
POL,Poland,53.53,2025,53.23,2024,0.3,True
PRT,Portugal,50.71,2025,50.52,2024,0.2,True
ROU,Romania,33.69,2025,32.88,2024,0.81,True
SVK,Slovak Republic,51.25,2025,50.14,2024,1.11,True
SVN,Slovenia,50.63,2025,50.13,2024,0.5,True
ESP,Spain,46.83,2025,46.5,2024,0.33,True
SWE,Sweden,63.72,2025,64.49,2024,-0.77,True
