iso3,country_name,region,income_group,row_type,capital,lat,lon,member_count,population_total,pop_0_14_pct,pop_15_64_pct,pop_65plus_pct,age_dependency_ratio,lfp_rate_total,lfp_rate_15_24,lfp_rate_15_24_ilo,lfp_rate_25_54,lfp_rate_55_64,emp_to_pop_ratio_15plus,youth_employment_rate_15_24,unemployment_rate_total,unemployment_rate_15_24,labor_force_total,employed_total,employed_total_source,employed_share_of_population_pct,emp_agriculture_pct,emp_industry_pct,emp_services_pct,isco1_managers_pct,isco2_professionals_pct,isco3_technicians_pct,isco4_clerical_pct,isco5_service_sales_pct,isco6_agricultural_pct,isco7_craft_pct,isco8_operators_pct,isco9_elementary_pct,isco_unclassified_pct,isco_armed_forces_thousands,isco_groups_reported,isco_classified_share_pct,isco_classification,isco_source_employed_thousands,white_collar_pct,professional_core_pct,blue_collar_service_pct,white_collar_employed,professional_core_employed,clerical_employed,professionals_employed,young_white_collar_pct,prime_white_collar_pct,late_career_white_collar_pct,youth_age_band_used,entry_level_data_quality,young_employed_total,young_white_collar_employed,youth_cohort_share,youth_wc_gap,entry_level_squeeze_index,squeeze_components_present,gdp_per_capita_ppp,population_15_24,labor_force_advanced_edu_pct,service_exports_usd,ict_service_exports_pct,ict_service_exports_usd,ai_exposure_weighted_score,exposed_wage_bill_ppp,data_year_population,data_year_labor,data_year_sector,data_year_occupation,data_year_youth_occupation,data_year_lfp_age,data_year_context,prime_white_collar_year,late_career_white_collar_year,data_source_override,data_year_population_range,data_year_labor_range,data_year_sector_range,data_year_occupation_range,data_year_youth_occupation_range,isco_coverage_pct_of_employment,youth_isco_coverage_pct_of_employment,data_quality_flag,isco1_age_15_24_pct,isco1_age_25_54_pct,isco1_age_55_64_pct,isco2_age_15_24_pct,isco2_age_25_54_pct,isco2_age_55_64_pct,isco3_age_15_24_pct,isco3_age_25_54_pct,isco3_age_55_64_pct,isco4_age_15_24_pct,isco4_age_25_54_pct,isco4_age_55_64_pct,isco5_age_15_24_pct,isco5_age_25_54_pct,isco5_age_55_64_pct,isco6_age_15_24_pct,isco6_age_25_54_pct,isco6_age_55_64_pct,isco7_age_15_24_pct,isco7_age_25_54_pct,isco7_age_55_64_pct,isco8_age_15_24_pct,isco8_age_25_54_pct,isco8_age_55_64_pct,isco9_age_15_24_pct,isco9_age_25_54_pct,isco9_age_55_64_pct,isco1_age_year,isco2_age_year,isco3_age_year,isco4_age_year,isco5_age_year,isco6_age_year,isco7_age_year,isco8_age_year,isco9_age_year,isco1_edu_bas_pct,isco1_edu_int_pct,isco1_edu_adv_pct,isco1_edu_ltb_pct,isco2_edu_bas_pct,isco2_edu_int_pct,isco2_edu_adv_pct,isco2_edu_ltb_pct,isco3_edu_bas_pct,isco3_edu_int_pct,isco3_edu_adv_pct,isco3_edu_ltb_pct,isco4_edu_bas_pct,isco4_edu_int_pct,isco4_edu_adv_pct,isco4_edu_ltb_pct,isco5_edu_bas_pct,isco5_edu_int_pct,isco5_edu_adv_pct,isco5_edu_ltb_pct,isco6_edu_bas_pct,isco6_edu_int_pct,isco6_edu_adv_pct,isco6_edu_ltb_pct,isco7_edu_bas_pct,isco7_edu_int_pct,isco7_edu_adv_pct,isco7_edu_ltb_pct,isco8_edu_bas_pct,isco8_edu_int_pct,isco8_edu_adv_pct,isco8_edu_ltb_pct,isco9_edu_bas_pct,isco9_edu_int_pct,isco9_edu_adv_pct,isco9_edu_ltb_pct,isco1_edu_year,isco2_edu_year,isco3_edu_year,isco4_edu_year,isco5_edu_year,isco6_edu_year,isco7_edu_year,isco8_edu_year,isco9_edu_year
WLD,World,AGGREGATE,Aggregate,world,,,,218,8192078152.0,24.4458,65.1792,10.3749,54.485,60.9006,42.5881,41.652,77.1555,63.0661,57.9328,37.2026,5.1227,13.6334,3764157859.0,3593561219,sum of member countries,43.8663,25.8445,23.5792,50.5763,3.8265,10.7912,6.7222,4.8425,17.63,22.4519,11.2208,7.1241,15.789,,,,,,,25.9922,14.6172,74.0079,934045619,525278031,134352087,299393853,18.0944,28.1712,22.9118,,aggregate of country proxies,,53134277,14.7519,,49.4541,,25583.5598,1204554029.0,72.9043,9285322613852.836,,1381746032171,0.3063,30483792263164,2025,2025,2025,2026,2026,,,,,,2025-2025,2021-2025,2021-2025,2013-2026,2013-2026,77.21,74.94,"aggregate — 177/218 members with ISCO data, 77.21% of employment covered",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAS,East Asia & Pacific,AGGREGATE,Aggregate,region,,,,38,2367527180.0,17.641,68.4994,13.8596,46.2258,65.2621,47.3656,43.354,82.5566,69.8949,62.7966,41.2046,3.7968,12.8138,1271623444.0,1234794905,sum of member countries,52.1555,21.8171,28.3998,49.7831,2.7454,9.9717,5.6516,7.714,22.1247,16.0892,10.6769,8.9961,17.6395,,,,,,,25.2857,12.7149,74.7143,312226535,157002937,37172392,48052102,19.7313,28.0493,19.7474,,aggregate of country proxies,,8499028,14.1115,,46.5734,,28990.1719,333945306.0,78.6297,1733114804641.7683,,167999234283,0.3233,5364686794889,2025,2025,2025,2025,2025,,,,,,2025-2025,2025-2025,2025-2025,2013-2025,2013-2025,39.03,36.6,"aggregate — 30/38 members with ISCO data, 39.03% of employment covered",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECS,Europe & Central Asia,AGGREGATE,Aggregate,region,,,,58,932525035.0,17.1817,64.3053,18.513,55.6765,58.0452,39.6854,39.512,85.2212,63.9674,54.8354,34.2396,5.6307,14.145,449690284.0,424712537,sum of member countries,45.5444,6.9974,23.7247,69.2779,6.3714,22.8139,14.2178,7.4375,16.0553,4.1763,11.2669,8.187,9.4777,,,,,,,50.8406,29.1853,49.1594,215926402,123953628,30387107,93209710,35.8847,54.5704,47.0195,,aggregate of country proxies,,11683733,11.7017,,46.9391,,54020.7623,108027250.0,77.8039,4772848776627.776,,765677236883,0.4487,10773368432893,2025,2025,2025,2025,2025,,,,,,2025-2025,2021-2025,2021-2025,2013-2025,2016-2025,96.2,92.81,"aggregate — 47/58 members with ISCO data, 96.2% of employment covered",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EU27,European Union (27),AGGREGATE,Aggregate,group,,,,27,451127411.0,14.2074,63.3498,22.4428,57.9381,57.3108,40.5791,40.2276,87.3812,69.3891,53.9177,34.6311,5.9812,15.9453,221676605.0,208539948,sum of member countries,46.2264,3.231,23.9178,72.8512,5.4929,23.5607,16.0943,9.4513,16.1217,2.5732,11.311,7.0751,8.3239,,,,,,,54.5992,29.0537,45.4008,113861143,60588571,19709678,49133526,37.141,57.1395,51.4823,,aggregate of country proxies,,6369694,10.5721,,45.4129,,65558.0487,47693370.0,77.355,3519487300332.7603,,637240374300,0.4734,6598880949620,2025,2025,2025,2025,2025,,,,,,2025-2025,2025-2025,2025-2025,2025-2025,2024-2025,100.0,100.0,"aggregate — 27/27 members with ISCO data, 100.0% of employment covered",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G20,G20 members,AGGREGATE,Aggregate,group,,,,19,4744611663.0,19.4082,67.7669,12.8249,47.7891,60.772,42.3154,39.9507,76.9788,61.4843,57.9073,36.2852,4.7636,14.6834,2328648381.0,2219372664,sum of member countries,46.7767,21.5629,26.2336,52.2035,4.6479,12.7823,8.1103,6.1664,16.7146,17.1836,11.0758,7.062,16.6316,,,,,,,31.3326,17.4302,68.6675,695387159,386841094,90579270,187762548,23.2225,33.6773,27.5019,,aggregate of country proxies,,35914713,14.5093,,54.5627,,32178.7622,688408507.0,72.3867,4953917893667.535,,631665197977,0.3369,21686294545397,2025,2025,2025,2026,2026,,,,,,2025-2025,2025-2025,2025-2025,2014-2026,2023-2026,66.19,65.23,"aggregate — 17/19 members with ISCO data, 66.19% of employment covered",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCN,Latin America & Caribbean,AGGREGATE,Aggregate,region,,,,42,666592570.0,22.1427,67.6986,10.1588,47.8075,62.7482,47.2986,47.2807,80.1603,60.7654,59.3412,41.5429,5.4184,12.42,325052801.0,307448185,sum of member countries,46.1224,12.7203,20.4641,66.8155,3.414,11.6668,8.1338,7.1762,22.493,6.4934,13.4391,9.1001,19.0434,,,,,,,30.1035,15.0808,69.8965,92552664,46365646,21393084,34779859,23.6175,33.144,24.7619,,aggregate of country proxies,,10110455,16.0746,,56.4615,,23711.2172,106527887.0,80.6434,295049274142.83606,,24026453373,0.3526,2579991047828,2025,2025,2025,2026,2026,,,,,,2025-2025,2025-2025,2025-2025,2013-2026,2014-2026,96.96,96.93,"aggregate — 30/42 members with ISCO data, 96.96% of employment covered",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEA,"Middle East, North Africa, Afghanistan & Pakistan",AGGREGATE,Aggregate,region,,,,23,828025185.0,31.7286,63.0826,5.1887,59.6378,47.0919,31.9684,35.4702,63.453,45.129,43.3167,26.6177,8.6769,18.9696,267451027.0,246347520,sum of member countries,29.7512,21.5152,26.6188,51.8661,2.9149,9.9165,5.4265,3.3497,18.2757,19.3545,16.4186,9.6641,14.6796,,,,,,,21.6076,12.8315,78.3924,53229787,31610082,7265091,21507889,12.4289,23.4738,22.0547,,aggregate of country proxies,,3193403,14.5484,,47.6622,,17004.8826,120464279.0,68.4007,558596485735.0966,,90088622480,0.2866,1247301273668,2025,2025,2025,2025,2025,,,,,,2025-2025,2022-2025,2022-2025,2014-2025,2014-2025,88.04,82.02,"aggregate — 18/23 members with ISCO data, 88.04% of employment covered",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAC,North America,AGGREGATE,Aggregate,region,,,,3,383501065.0,16.8683,64.5403,18.5914,54.9421,62.0095,52.1575,56.3938,84.0927,66.7246,59.2169,46.98,4.4923,9.8245,197680392.0,188798784,sum of member countries,49.2303,1.4776,18.8938,79.6286,11.3002,22.5184,17.6663,8.7145,14.7874,0.573,8.3806,5.9506,10.109,,,,,,,60.1994,33.8186,39.8007,113655735,63849106,16452828,42514444,37.1995,64.1707,63.4621,,aggregate of country proxies,,7739311,12.915,,43.08,,87502.8559,49521028.0,71.2551,1405867974996.2268,,127058854931,0.491,8109295442933,2025,2025,2025,2025,2025,,,,,,2025-2025,2025-2025,2025-2025,2013-2025,2025-2025,100.0,88.72,"aggregate — 3/3 members with ISCO data, 100.0% of employment covered",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD,OECD members,AGGREGATE,Aggregate,group,,,,38,1402243571.0,16.4481,64.5277,19.0242,55.2819,60.6032,46.8315,47.7786,84.1064,66.9182,57.6149,41.6126,5.0026,11.6654,709911434.0,674932030,sum of member countries,48.1323,4.2702,21.6976,74.0322,7.0932,20.8801,14.8764,9.9705,17.3077,2.8426,10.0049,7.1106,11.4158,,,,,,,51.3199,27.9733,48.6801,346374443,188800762,67002906,140316469,34.4717,55.226,49.0991,,aggregate of country proxies,,22846613,12.3551,,44.8898,,64192.529,173249041.0,76.5357,6587843265284.966,,942383338020,0.4572,20653823534262,2025,2025,2025,2026,2026,,,,,,2025-2025,2025-2025,2025-2025,2014-2026,2023-2026,99.57,96.42,"aggregate — 37/38 members with ISCO data, 99.57% of employment covered",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAS,South Asia,AGGREGATE,Aggregate,region,,,,6,1692252900.0,24.5855,68.0602,7.3543,46.9591,55.6115,32.8437,33.1696,69.1871,56.4438,53.2509,27.8844,4.2794,15.4456,709676121.0,679563112,sum of member countries,40.1573,41.5025,25.0502,33.4472,2.6559,5.7506,2.7465,2.2034,13.494,34.4296,11.9239,6.3808,20.4154,,,,,,,13.3564,8.4065,86.6437,90765167,57127473,14973778,39079116,10.8695,15.1023,9.2827,,aggregate of country proxies,,8383892,17.0506,,59.7858,,11562.1851,288538907.0,66.5543,434818373210.2241,,202238082086,0.2192,1730905035117,2025,2025,2025,2025,2025,,,,,,2025-2025,2025-2025,2025-2025,2017-2025,2017-2025,100.0,100.0,"aggregate — 6/6 members with ISCO data, 100.0% of employment covered",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
